Market,City,y15,y14,y10,y05,t1yr,t5yr,t10yr
15740,"Cambridge, OH",-0.489168854,-0.51501748,-0.623213425,-0.447310265,-0.463320227,-0.355124283,-0.531027442
15780,"Camden, AR",-1.02469187,-0.908834379,-0.910695381,-0.646863482,-1.14054936,-1.138688358,-1.402520258
15820,"Campbellsville, KY",-1.135136531,-1.12496096,-1.168445333,-0.894921677,-1.145312102,-1.10182773,-1.375351386
15860,"Ca�on City, CO",-0.798845835,-0.869771873,-0.777482271,-0.599164709,-0.727919797,-0.820209399,-0.998526961
15900,"Canton, IL",-1.028407152,-1.048939582,-1.096873942,-1.370813818,-1.007874722,-0.959940363,-0.686000486
15940,"Canton-Massillon, OH",1.316099359,1.100835814,1.667803665,1.880474126,1.531362904,0.964395053,0.751724592
15980,"Cape Coral-Fort Myers, FL",1.048234003,0.925504601,0.796562735,0.280859247,1.170963404,1.29990527,1.815608758
16020,"Cape Girardeau, MO-IL",0.121437477,0.07252954,0.388431007,0.419762997,0.170345413,-0.145556054,-0.176888043
16060,"Carbondale-Marion, IL",0.071728649,0.1488733,-0.530409976,-0.759430578,-0.005416002,0.673867274,0.902887876
16100,"Carlsbad-Artesia, NM",-0.972365374,-0.889025513,-0.9551794,-0.613537413,-1.055705236,-0.989551349,-1.331193335
16180,"Carson City, NV",0.914773287,1.081935968,1.004402348,1.255402182,0.747610606,0.825144227,0.574144392
16220,"Casper, WY",-0.247070649,0.037889693,-0.166133334,-0.039986563,-0.532030991,-0.328007964,-0.454154736
16260,"Cedar City, UT",-0.177656881,-0.487987709,-0.411371692,-0.366412275,0.132673947,0.05605793,0.011098514
16300,"Cedar Rapids, IA",1.089745228,0.961744899,0.90277239,1.332673912,1.217745558,1.276718067,0.846816545
16340,"Cedartown, GA",-0.710051798,-0.632014359,-0.937273564,-0.576627843,-0.788089236,-0.482830031,-0.843475752
16380,"Celina, OH",-0.65229545,-0.567129042,-0.619430657,-0.57517912,-0.737461858,-0.685160242,-0.729411779
16460,"Centralia, IL",-1.038739633,-1.024530584,-1.017069148,-0.690403418,-1.052948683,-1.060410119,-1.387075849
16500,"Centralia, WA",-0.323890042,-0.261068313,-0.141886344,-0.2554472,-0.386711771,-0.50589374,-0.392332884
16540,"Chambersburg-Waynesboro, PA",0.436602066,0.390632402,0.29375856,0.45245466,0.48257173,0.579445572,0.420749472
16580,"Champaign-Urbana, IL",0.882163174,0.822372471,0.654914797,0.86148643,0.941953877,1.109411551,0.902839918
16620,"Charleston, WV",0.179643875,0.328969902,0.244811396,0.471718697,0.030317849,0.114476355,-0.112430946
16660,"Charleston-Mattoon, IL",-0.535097931,-0.50067976,-0.375611735,-0.298110856,-0.569516102,-0.694584126,-0.772085005
