Market,ENI,City,Area,GDP,PerCapita,Log_GDP,Log_PerCapita
16020,0.037839499,"Cape Girardeau-Jackson, MO-IL","Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3765,38580.16785,3.575764981,4.586364113
16060,-0.064884814,"Carbondale-Marion, IL","Carbondale-Marion, IL (Metropolitan Statistical Area)",4769,37657.03592,3.678427322,4.575846133
16100,-0.425314476,"Carlsbad-Artesia, NM",NA,NA,NA,NA,NA
16180,-0.023756586,"Carson City, NV","Carson City, NV (Metropolitan Statistical Area)",2966,54537.09663,3.472171147,4.736692014
16220,0.234662383,"Casper, WY","Casper, WY (Metropolitan Statistical Area)",6561,80570.29178,3.816970038,4.906174936
16260,-0.410291898,"Cedar City, UT",NA,NA,NA,NA,NA
16300,0.943402402,"Cedar Rapids, IA","Cedar Rapids, IA (Metropolitan Statistical Area)",17629,66843.86541,4.246227678,4.825061556
16340,-0.845852951,"Cedartown, GA",NA,NA,NA,NA,NA
16380,-0.509197825,"Celina, OH",NA,NA,NA,NA,NA
16460,-0.760125727,"Centralia, IL",NA,NA,NA,NA,NA
16500,-0.243459394,"Centralia, WA",NA,NA,NA,NA,NA
16540,0.008664434,"Chambersburg-Waynesboro, PA","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",4855,31783.75264,3.686189234,4.502205172
16580,0.412934488,"Champaign-Urbana, IL","Champaign-Urbana, IL (Metropolitan Statistical Area)",10698,45179.65437,4.029302594,4.654942904
16620,0.654728895,"Charleston, WV","Charleston, WV (Metropolitan Statistical Area)",14200,63735.14904,4.152288344,4.804379006
16660,-0.469021854,"Charleston-Mattoon, IL",NA,NA,NA,NA,NA
16700,1.40884581,"Charleston-North Charleston, SC","Charleston-North Charleston, SC (Metropolitan Statistical Area)",34164,46991.37721,4.533568713,4.672018173
16740,2.555329568,"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",142243,59831.88201,5.153030903,4.776932664
16820,0.834634292,"Charlottesville, VA","Charlottesville, VA (Metropolitan Statistical Area)",11937,52715.95125,4.076895194,4.721942048
16860,1.281452102,"Chattanooga, TN-GA","Chattanooga, TN-GA (Metropolitan Statistical Area)",23083,42440.489,4.363292252,4.627780379
16940,0.176447617,"Cheyenne, WY","Cheyenne, WY (Metropolitan Statistical Area)",5529,57435.80155,3.74264659,4.759182686
16980,3.929063489,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",608710,63780.05286,5.784410436,4.804684875
17020,0.384106586,"Chico, CA","Chico, CA (Metropolitan Statistical Area)",7125,31811.72815,3.852784869,4.502587262
17060,-0.602869776,"Chillicothe, OH",NA,NA,NA,NA,NA
17140,2.568357141,"Cincinnati-Middletown, OH-KY-IN","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",122336,56985.70513,5.087554276,4.755765927
17200,0.823820261,"Claremont-Lebanon, NH-VT",NA,NA,NA,NA,NA
17220,-0.286897625,"Clarksburg, WV",NA,NA,NA,NA,NA
17260,-1.014169106,"Clarksdale, MS",NA,NA,NA,NA,NA
17300,0.363575045,"Clarksville, TN-KY","Clarksville, TN-KY (Metropolitan Statistical Area)",10565,38036.57127,4.023869501,4.580201361
17340,-0.53679213,"Clearlake, CA",NA,NA,NA,NA,NA
17380,-1.051706525,"Cleveland, MS",NA,NA,NA,NA,NA
17420,-0.295852399,"Cleveland, TN","Cleveland, TN (Metropolitan Statistical Area)",4402,36792.79189,3.643650038,4.565762744
17460,2.99687033,"Cleveland-Elyria-Mentor, OH","Cleveland-Elyria, OH (Metropolitan Statistical Area)",125602,60857.75115,5.098996555,4.7843159
17500,-1.025473117,"Clewiston, FL",NA,NA,NA,NA,NA
17540,-0.783970776,"Clinton, IA",NA,NA,NA,NA,NA
17580,-0.707729837,"Clovis, NM",NA,NA,NA,NA,NA
17660,0.703771059,"Coeur d'Alene, ID","Coeur d'Alene, ID (Metropolitan Statistical Area)",5020,34081.49687,3.700703717,4.532518661
17700,-0.724104705,"Coffeyville, KS",NA,NA,NA,NA,NA
17740,-0.812578704,"Coldwater, MI",NA,NA,NA,NA,NA
17780,0.391266256,"College Station-Bryan, TX","College Station-Bryan, TX (Metropolitan Statistical Area)",8952,36910.89762,3.951920074,4.567154607
17820,1.396784283,"Colorado Springs, CO","Colorado Springs, CO (Metropolitan Statistical Area)",28559,41629.86027,4.455742996,4.619404953
17860,0.539377195,"Columbia, MO","Columbia, MO (Metropolitan Statistical Area)",8016,46360.45019,3.903957709,4.666147645
17900,1.365483048,"Columbia, SC","Columbia, SC (Metropolitan Statistical Area)",36611,45772.10341,4.563611591,4.66060087
17980,0.536387835,"Columbus, GA-AL","Columbus, GA-AL (Metropolitan Statistical Area)",13377,42597.97662,4.126358727,4.629388971
18020,-0.209796984,"Columbus, IN","Columbus, IN (Metropolitan Statistical Area)",5545,69155.17198,3.74390155,4.839824666
18060,-0.310767886,"Columbus, MS",NA,NA,NA,NA,NA
18100,-0.647536506,"Columbus, NE",NA,NA,NA,NA,NA
18140,2.40805877,"Columbus, OH","Columbus, OH (Metropolitan Statistical Area)",117645,58916.50128,5.070573474,4.770236949
18180,0.63858859,"Concord, NH",NA,NA,NA,NA,NA
18220,-1.054189989,"Connersville, IN",NA,NA,NA,NA,NA
18260,-0.21923748,"Cookeville, TN",NA,NA,NA,NA,NA
18300,-0.29062472,"Coos Bay, OR",NA,NA,NA,NA,NA
18380,-1.238760633,"Cordele, GA",NA,NA,NA,NA,NA
18420,-0.589064552,"Corinth, MS",NA,NA,NA,NA,NA
18460,-1.094097112,"Cornelia, GA",NA,NA,NA,NA,NA
18500,-0.389802922,"Corning, NY",NA,NA,NA,NA,NA
18580,0.990196949,"Corpus Christi, TX","Corpus Christi, TX (Metropolitan Statistical Area)",24381,54409.00144,4.387051514,4.735670755
18620,-0.746819349,"Corsicana, TX",NA,NA,NA,NA,NA
18660,-0.490878087,"Cortland, NY",NA,NA,NA,NA,NA
